20.0 # 80.0 # 0.0 # 1.5 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
望着	6429	88.62492	5.76639	3.29693	3.29693	5.76639
让得	3282	158.42311	6.05628	5.00367	5.00367	6.05628
薰儿	2655	1075.93292	7.36769	4.51719	4.51719	7.36769
等人	2225	115.64243	6.58301	5.25368	5.25368	6.58301
炼药师	2011	1434.44947	5.70378	5.21238	5.70378	5.21238
盯着	1620	95.54733	5.73287	3.40279	3.40279	5.73287
脸庞上	1601	139.93660	4.99613	4.53856	4.99613	4.53856
天空上	1383	151.95689	4.15316	3.98112	4.15316	3.98112
瞧得	1221	221.02698	6.17956	3.80053	3.80053	6.17956
不知道	1217	136.84007	7.17930	4.82474	4.82474	7.17930
今曰	1162	789.58121	6.29225	3.81237	3.81237	6.29225
略微有些	977	170.57313	7.90198	5.99135	5.99135	7.90198
海波东	964	2441.88382	6.54657	4.26189	4.26189	6.54657
不可能	948	262.75909	6.60016	4.68069	4.68069	6.60016
曰后	927	136.89882	6.12798	3.93988	3.93988	6.12798
灵魂力量	927	351.64736	5.96322	4.66934	4.66934	5.96322
加玛帝国	919	1892.04722	5.86381	5.65998	5.65998	5.86381
纳兰嫣然	881	2016.11251	7.21520	4.36805	4.36805	7.21520
并没有	868	197.49401	7.48791	5.03779	5.03779	7.48791
感觉到	865	243.88611	5.36146	4.61834	4.61834	5.36146
章 	846	1917.97647	9.09531	6.75345	6.75345	9.09531
小医仙	844	1443.15544	6.06024	3.63423	3.63423	6.06024
药老	840	1442.33206	6.40883	3.73873	3.73873	6.40883
黑角域	828	3570.56181	5.40360	5.27723	5.27723	5.40360
并不	729	107.15325	6.45662	5.58464	5.58464	6.45662
嘴中	683	197.27510	5.59472	5.34152	5.34152	5.59472
陨落心炎	645	3626.92824	5.74520	5.66723	5.66723	5.74520
隐隐间	624	381.45211	4.12593	2.98861	2.98861	4.12593
伴随着	624	97.26617	6.73173	3.09426	3.09426	6.73173
美杜莎女王	615	1795.87082	6.62821	4.68963	4.68963	6.62821
闪电般的	608	764.94038	6.49368	4.84384	4.84384	6.49368
迦南学院	603	3563.37648	5.72228	5.67558	5.67558	5.72228
暴射而	601	164.78468	6.59042	1.77256	6.59042	1.77256
望向	594	188.82109	6.02721	3.79357	3.79357	6.02721
魂殿	590	1437.35289	5.93661	3.63197	3.63197	5.93661
面对着	571	85.80700	6.64752	3.21301	3.21301	6.64752
还能	553	89.65245	7.06358	5.27623	5.27623	7.06358
感受到	549	293.08863	5.22701	4.68847	4.68847	5.22701
斗宗强者	536	331.89668	4.74564	4.38321	4.74564	4.38321
妖傀	523	2379.72561	5.07744	1.57817	1.57817	5.07744
青色火焰	508	328.68609	5.10238	3.88529	3.88529	5.10238
天火尊者	507	1406.60693	6.52358	4.16685	4.16685	6.52358
掠过一抹	504	623.24428	6.43508	3.20544	3.20544	6.43508
没有丝毫	503	225.07274	4.88528	4.10691	4.88528	4.10691
暴掠而	499	178.51477	6.63750	2.12451	6.63750	2.12451
涌上	493	217.83808	4.60623	4.11497	4.60623	4.11497
浮现一抹	485	342.93638	6.49896	3.86694	3.86694	6.49896
净莲妖火	479	3532.67408	5.34702	5.08771	5.08771	5.34702
略有些	478	296.69389	7.52689	5.71884	5.71884	7.52689
体内斗气	477	97.08573	6.06925	4.27638	4.27638	6.06925
还真是	467	208.53600	7.15359	4.39468	4.39468	7.15359
喃喃道	466	158.93895	3.22547	1.51159	3.22547	1.51159
扫过	453	398.99781	3.95722	2.68467	3.95722	2.68467
闪掠而	447	123.28020	6.24071	2.73279	6.24071	2.73279
风尊者	438	1742.43001	6.36705	3.96189	3.96189	6.36705
却并未	435	234.96654	6.55681	3.98152	3.98152	6.55681
突然间	431	119.63194	6.39045	4.37458	4.37458	6.39045
魂天帝	430	1993.74755	6.40545	4.12174	4.12174	6.40545
星陨阁	428	5509.65716	5.39454	5.33918	5.39454	5.33918
之处	423	119.59201	7.30909	1.84759	7.30909	1.84759
斗皇强者	422	271.26683	4.59118	4.29729	4.59118	4.29729
内院	409	1399.72598	5.81774	5.60793	5.60793	5.81774
摘星老鬼	406	5684.18560	5.91570	4.68615	4.68615	5.91570
待得	404	192.69275	6.89326	1.60551	1.60551	6.89326
米特尔	393	7200.18281	5.34185	1.82290	5.34185	1.82290
这么多年	387	1847.73705	4.86815	3.25363	4.86815	3.25363
吞天蟒	387	5427.24199	5.21919	4.11253	4.11253	5.21919
带起	385	403.89797	5.57258	3.90375	3.90375	5.57258
黑袍人	385	91.94486	5.43948	4.22388	4.22388	5.43948
这些年	383	618.28855	4.88248	4.62877	4.62877	4.88248
化为一道	377	173.86286	5.97834	3.67370	3.67370	5.97834
斗气大陆	371	297.14118	4.68458	4.21558	4.68458	4.21558
目光转向	366	182.81639	5.83292	3.78342	3.78342	5.83292
爆发出	356	205.46531	5.15816	4.53889	4.53889	5.15816
风雷阁	356	4009.62498	5.64586	5.36397	5.64586	5.36397
这个家伙	351	172.57138	5.05513	3.85151	3.85151	5.05513
碧绿火焰	350	446.33803	5.53451	4.36985	4.36985	5.53451
地面上	342	94.32127	4.23208	3.71969	3.71969	4.23208
却依然	340	281.73888	3.78978	3.08313	3.08313	3.78978
脸颊上	329	105.26987	4.62338	4.22222	4.62338	4.22222
妖暝	318	2438.87749	6.34164	4.46268	4.46268	6.34164
斗尊强者	311	256.21246	4.56567	4.50203	4.56567	4.50203
一行人	309	229.90689	5.20957	4.04178	4.04178	5.20957
闪过一抹	304	500.47520	6.10178	3.54331	3.54331	6.10178
走吧	303	129.62867	2.19090	1.51909	2.19090	1.51909
没有半点	303	281.51672	5.37053	5.01070	5.01070	5.37053
这段时间	302	149.40623	4.34804	3.99974	3.99974	4.34804
云棱	300	7106.37940	6.01957	3.64850	3.64850	6.01957
偏过头	295	7781.58451	3.92656	1.56111	3.92656	1.56111
虚无吞炎	288	3920.81736	5.60912	4.63819	4.63819	5.60912
天妖凰族	287	2060.42103	5.20629	4.76287	5.20629	4.76287
玄空子	280	5589.00509	5.76741	3.56625	3.56625	5.76741
弥漫而出	279	258.95520	4.72650	1.57458	4.72650	1.57458
还未	277	261.17760	6.05120	5.97095	6.05120	5.97095
黑袍青年	277	772.24923	3.90370	2.52535	2.52535	3.90370
这种时候	275	157.14530	2.89667	2.53861	2.89667	2.53861
却并	273	103.43265	3.46557	3.13043	3.46557	3.13043
星斗圣	273	2075.34393	3.65869	2.87398	2.87398	3.65869
厄难毒体	266	8468.32868	5.04253	4.31703	5.04253	4.31703
斗王强者	262	304.72176	4.70039	4.64205	4.64205	4.70039
目光注视	257	91.10620	4.23578	1.71138	4.23578	1.71138
听得	256	83.49954	5.95468	3.30691	3.30691	5.95468
岩枭	256	9380.55271	4.03946	3.86905	4.03946	3.86905
这些家伙	254	95.92860	5.20013	4.62208	4.62208	5.20013
林修崖	253	9259.22674	5.79327	4.30366	4.30366	5.79327
所有人都	252	92.18341	3.88733	2.22979	3.88733	2.22979
天火三玄变	250	4136.58961	4.20879	3.98102	3.98102	4.20879
菩提古树	247	4891.49317	5.18559	4.84350	4.84350	5.18559
怎么可能	247	531.95856	5.18462	3.72545	3.72545	5.18462
感应到	247	238.73708	4.60650	4.31776	4.31776	4.60650
慕骨老人	246	2878.98356	5.80013	4.36683	4.36683	5.80013
若琳导师	245	7327.67080	6.41764	3.50012	3.50012	6.41764
噙着	244	92.42874	4.81653	4.56447	4.81653	4.56447
还真	240	215.24318	5.27069	4.46810	4.46810	5.27069
冰河谷	238	8631.90786	5.43387	4.56981	5.43387	4.56981
大厅中	238	91.91101	4.14569	3.93347	3.93347	4.14569
无数道目光	234	189.63334	3.15267	2.99908	2.99908	3.15267
其身后	233	105.73003	2.71472	1.97202	1.97202	2.71472
纳兰桀	230	2347.95463	6.05904	3.40437	3.40437	6.05904
炼药术	229	4854.34949	4.61021	4.51676	4.51676	4.61021
星斗尊	226	2536.46696	3.51719	2.83101	2.83101	3.51719
一股股	226	676.66713	6.14435	1.90871	1.90871	6.14435
蛇人	226	90.58262	5.42832	4.79531	4.79531	5.42832
目光投向	223	230.24543	5.47466	1.56479	1.56479	5.47466
鹜护法	223	4916.20849	5.94912	4.43718	4.43718	5.94912
一口鲜血	223	959.53232	4.05039	3.49360	3.49360	4.05039
每一次	222	764.00896	5.30199	3.31283	3.31283	5.30199
尚还	218	383.28204	5.17317	5.09137	5.17317	5.09137
天府联盟	217	4001.08109	5.09327	4.89367	5.09327	4.89367
大多都	215	201.39646	2.85727	2.30387	2.85727	2.30387
嗤嗤	215	1006.15230	3.54534	2.47177	3.54534	2.47177
能量波动	213	115.52542	3.55634	2.60213	2.60213	3.55634
太虚古龙	211	8838.28085	4.91585	3.23303	4.91585	3.23303
俏脸	209	4322.34320	4.89713	4.05815	4.05815	4.89713
魔兽山脉	203	545.37108	4.84474	4.46046	4.46046	4.84474
当曰	201	117.77249	5.65400	5.13173	5.13173	5.65400
就如同	198	83.25755	6.16246	2.19835	2.19835	6.16246
玄重尺	198	1641.51749	4.48176	2.21691	2.21691	4.48176
有丝毫	193	81.10774	3.67828	2.81764	3.67828	2.81764
凝聚成	193	597.93133	5.05849	4.79458	5.05849	4.79458
修炼室	192	1131.73924	4.96049	4.60955	4.96049	4.60955
石台上	192	95.55232	4.80937	2.96688	4.80937	2.96688
身体表面	191	281.75919	4.25575	4.12270	4.25575	4.12270
斗圣强者	191	209.80313	4.52090	4.23842	4.52090	4.23842
并不是	190	103.26281	5.90920	4.58762	4.58762	5.90920
广场之上	190	86.41460	3.62560	3.44922	3.44922	3.62560
平曰	189	733.59357	5.57510	4.45158	4.45158	5.57510
以一种	188	140.53093	5.25673	3.73304	3.73304	5.25673
掌心中	185	405.24400	4.46743	3.50570	3.50570	4.46743
这片天地	184	638.05222	3.54398	3.48144	3.54398	3.48144
药师公会	182	935.62141	4.88563	1.69978	1.69978	4.88563
六星斗	182	2674.88773	5.08986	2.78235	5.08986	2.78235
灵魂体	181	451.41355	4.89689	4.40145	4.89689	4.40145
自其体内	181	546.75135	4.33044	3.09977	4.33044	3.09977
空间裂缝	179	273.76652	4.10464	4.05080	4.10464	4.05080
青鳞	179	2353.33074	4.92906	3.36268	3.36268	4.92906
年轻一辈	179	4927.37141	4.83532	3.44735	4.83532	3.44735
加列家族	178	1265.29499	5.00918	4.99580	5.00918	4.99580
冷哼	177	1711.20648	4.13152	2.31036	4.13152	2.31036
飞掠而	177	94.44164	6.15432	1.79446	6.15432	1.79446
火属姓	176	3515.18165	3.24678	2.39162	3.24678	2.39162
药鼎之内	176	337.55553	4.01309	2.91953	4.01309	2.91953
破风声	172	5799.56309	3.60461	3.51099	3.51099	3.60461
必然会	171	168.91684	5.85583	3.48866	3.48866	5.85583
越来越多	170	295.89048	4.17809	1.55302	4.17809	1.55302
天地能量	170	141.64731	4.32165	3.53831	3.53831	4.32165
古青阳	168	6628.87409	4.78853	3.13958	3.13958	4.78853
无形火焰	167	171.80793	4.74599	4.48212	4.48212	4.74599
在内院	167	3272.69407	5.93939	5.25276	5.93939	5.25276
九天尊	166	2403.79562	5.60726	4.24596	4.24596	5.60726
鹰山老人	165	2954.00934	5.55335	4.44018	4.44018	5.55335
雷尊者	165	1330.12847	5.61348	3.90848	3.90848	5.61348
加列毕	164	7814.03943	5.75921	3.47383	3.47383	5.75921
多说	164	85.38657	3.52976	2.18721	3.52976	2.18721
炼制丹药	164	130.93312	5.99443	3.23497	5.99443	3.23497
出云帝国	163	1971.81701	4.96750	4.93596	4.96750	4.93596
搞得	162	139.36232	6.38095	5.50398	6.38095	5.50398
加刑天	161	1724.21647	5.57403	3.70760	3.70760	5.57403
很多人	161	116.82784	3.98887	3.74235	3.98887	3.74235
几曰	161	512.42869	4.24857	3.77026	3.77026	4.24857
还真的	160	86.44655	5.18487	4.12455	4.12455	5.18487
额头上	160	109.06249	4.01792	2.52206	4.01792	2.52206
药鼎之中	159	102.15547	4.43918	2.63818	4.43918	2.63818
虚无空间	159	196.59919	4.29646	4.01195	4.29646	4.01195
并不能	158	164.29641	6.39876	4.56530	4.56530	6.39876
郝长老	156	1019.40206	6.38406	4.19903	4.19903	6.38406
小公主	156	1194.13024	5.49342	3.71825	3.71825	5.49342
星斗宗	154	2583.19007	3.47112	2.98630	2.98630	3.47112
根本就	154	181.95208	4.10891	3.18118	3.18118	4.10891
散发而出	153	359.45696	4.55005	1.57713	4.55005	1.57713
三千雷动	153	3482.63172	4.27502	3.85883	3.85883	4.27502
一星斗	151	88.53491	4.76583	2.52074	4.76583	2.52074
骨灵冷火	151	17267.84454	4.73910	4.39087	4.39087	4.73910
紫色火焰	151	207.23086	3.86628	3.83068	3.83068	3.86628
雄浑斗气	150	203.31036	4.26192	3.72869	3.72869	4.26192
修炼状态	150	318.69651	2.82447	2.68986	2.68986	2.82447
或许是因为	148	521.34889	6.42737	2.60634	2.60634	6.42737
听说过	148	604.09296	4.51376	4.28765	4.28765	4.51376
能量罩	147	400.14270	4.24017	4.06110	4.24017	4.06110
那枚	147	89.49021	6.17917	2.50855	2.50855	6.17917
高台上	146	2555.71532	3.83383	2.76423	3.83383	2.76423
灵魂感知力	146	813.65899	4.20231	3.60754	3.60754	4.20231
周围那些	146	87.80321	6.66565	3.86883	3.86883	6.66565
四星斗	146	1559.22388	4.98368	2.98233	4.98368	2.98233
铁护法	145	4022.73521	5.40958	3.92590	3.92590	5.40958
彩鳞	145	6998.57907	4.79118	3.19692	3.19692	4.79118
眉头微微	145	91.57132	3.57914	1.91078	3.57914	1.91078
掠而	145	108.49937	2.72895	2.70566	2.70566	2.72895
八星斗	145	2445.51526	4.94168	2.49372	4.94168	2.49372
眨眼间	144	370.58453	2.70225	1.67410	2.70225	1.67410
什么时候	142	99.04651	5.84185	4.96622	4.96622	5.84185
弥漫而开	142	410.24798	5.41472	1.53383	5.41472	1.53383
磐门	142	10395.66765	4.87530	4.04770	4.04770	4.87530
青灵丹	142	2311.87236	3.44763	3.02683	3.02683	3.44763
九星斗	139	825.02084	4.92382	2.78955	4.92382	2.78955
族中	139	97.19626	5.49019	5.11484	5.11484	5.49019
艹控	139	9295.77530	4.73751	4.67889	4.73751	4.67889
能量体	138	276.02582	3.82629	3.73937	3.82629	3.73937
白发老者	137	950.95776	5.41483	3.65787	3.65787	5.41483
接触到	136	136.05459	5.87131	4.09666	4.09666	5.87131
三位长老	136	397.77932	5.03083	4.11067	4.11067	5.03083
魂殿殿主	136	1391.71450	5.37471	3.02659	3.02659	5.37471
一道黑影	135	169.69132	4.24224	1.91125	1.91125	4.24224
古妖	135	758.63701	5.32530	4.37428	4.37428	5.32530
足以让	134	119.98923	3.54893	2.68751	3.54893	2.68751
一跺	134	411.58151	2.25430	1.81767	2.25430	1.81767
却依旧	134	151.72930	4.24679	2.74439	2.74439	4.24679
巅峰强者	134	95.09168	3.93210	3.74409	3.93210	3.74409
岂不是	133	1320.78363	5.98587	3.01800	3.01800	5.98587
房间之中	133	100.42965	3.27210	2.23661	3.27210	2.23661
云岚宗弟子	133	515.72660	4.93494	3.84991	3.84991	4.93494
这么多	133	172.11211	5.22443	4.92100	5.22443	4.92100
每一个	133	168.97947	4.21870	4.18098	4.21870	4.18098
之法	133	515.22042	3.95152	1.86099	3.95152	1.86099
能量涟漪	133	258.17965	4.19134	3.41431	3.41431	4.19134
紫云翼	132	8503.24538	4.95118	3.70147	3.70147	4.95118
两曰	132	334.49671	4.09634	3.80393	3.80393	4.09634
抹去	131	235.30760	4.49298	2.44100	4.49298	2.44100
算做	131	1308.87981	5.62096	1.82504	1.82504	5.62096
别的强者	129	139.29781	3.62205	2.06547	3.62205	2.06547
修炼天赋	128	329.18027	4.19251	3.82459	3.82459	4.19251
魔炎谷	128	4448.17876	5.31416	3.78764	3.78764	5.31416
突破到	128	120.85510	5.47884	4.03412	5.47884	4.03412
两道身影	128	397.58764	4.75482	2.95625	2.95625	4.75482
二星斗	128	1168.81758	4.90913	2.71409	4.90913	2.71409
这片空间	127	119.44539	3.92061	3.76536	3.92061	3.76536
还不待	126	399.54516	3.60874	1.74639	1.74639	3.60874
眉头紧皱	126	1915.48265	3.65128	1.73977	3.65128	1.73977
北龙王	126	9195.37001	4.80814	3.45854	3.45854	4.80814
涌现一抹	125	242.90275	5.65043	3.84039	3.84039	5.65043
加列奥	125	13187.16051	5.19262	3.13586	3.13586	5.19262
太多	124	277.05520	4.19069	2.81273	4.19069	2.81273
半个小时	124	3419.58074	3.34841	2.91178	3.34841	2.91178
没有任何	124	110.81928	4.47169	4.13420	4.13420	4.47169
简直就是	124	1178.76458	6.48138	1.74367	1.74367	6.48138
出声	124	114.40203	5.24530	3.10106	5.24530	3.10106
好半晌	123	219.24920	1.68271	1.57657	1.57657	1.68271
脑海之中	123	366.01482	4.03380	3.59855	4.03380	3.59855
有资格	122	136.10239	5.16626	4.26082	4.26082	5.16626
自其中	122	184.71641	4.99746	4.43350	4.43350	4.99746
眉心处	121	882.36411	3.81197	2.77196	3.81197	2.77196
有机会	121	138.49294	4.03644	3.92794	3.92794	4.03644
缓缓睁开	120	235.60954	3.56333	2.33998	3.56333	2.33998
天山血潭	120	15632.75583	4.99519	4.61529	4.61529	4.99519
一踏	120	266.94981	3.15884	1.95668	3.15884	1.95668
收入纳戒	119	2418.09063	4.92730	1.81527	4.92730	1.81527
心中闪过	119	126.19448	3.13653	2.29204	2.29204	3.13653
这种地步	118	112.25048	2.32566	2.09208	2.09208	2.32566
鬼魅般的	117	556.62404	3.38745	2.97127	2.97127	3.38745
推荐票	117	16984.11075	3.33659	2.78213	3.33659	2.78213
早已经	116	281.47526	5.69486	4.54789	4.54789	5.69486
本就	116	267.01117	6.10381	5.06118	5.06118	6.10381
手指轻轻	115	293.04163	3.17233	2.81981	2.81981	3.17233
定然会	115	137.14415	5.97351	3.44043	3.44043	5.97351
更多	115	228.75567	4.42670	1.50024	4.42670	1.50024
血脉之力	115	613.26672	4.30172	3.97995	3.97995	4.30172
疗伤药	114	1447.18317	4.72940	3.61391	4.72940	3.61391
纳戒之中	113	81.51697	3.54819	1.82630	3.54819	1.82630
自体内	113	89.82684	3.94377	2.91722	3.94377	2.91722
这种情况	113	129.14486	3.37596	1.97418	3.37596	1.97418
略微沉吟	113	201.11163	2.64895	1.66829	2.64895	1.66829
不是寻常	112	234.31165	4.41497	3.83117	4.41497	3.83117
异火榜	112	925.66560	3.24305	2.77864	3.24305	2.77864
被称为	112	243.00856	6.53039	3.72552	3.72552	6.53039
心中念头	112	140.19252	3.93277	3.16329	3.16329	3.93277
眼瞳之中	112	82.37208	3.44443	2.51727	3.44443	2.51727
斗皇巅峰	111	490.54621	4.54713	3.04914	4.54713	3.04914
显得格外	111	1995.55409	3.41753	2.13200	3.41753	2.13200
低喝	111	2163.88076	2.21071	2.00930	2.00930	2.21071
两种异火	111	454.88845	4.69986	3.70352	4.69986	3.70352
岩浆世界	110	1348.34113	3.70162	3.16860	3.70162	3.16860
有些不太	110	223.13152	4.86611	4.36366	4.86611	4.36366
并不想	110	308.02278	5.55338	4.24467	4.24467	5.55338
未曾料到	110	1573.13730	3.07257	1.64043	3.07257	1.64043
一句话	110	1745.05743	4.53518	3.15474	4.53518	3.15474
微眯着	110	6322.86900	2.94564	1.98098	2.94564	1.98098
空间通道	110	227.82013	4.09893	3.58652	4.09893	3.58652
其周身	108	133.11462	3.87923	2.58501	2.58501	3.87923
对碰	108	185.57735	4.51990	2.51095	4.51990	2.51095
闪掠	108	7613.96175	2.65025	1.56379	2.65025	1.56379
白色火焰	108	141.84611	4.07469	3.89498	3.89498	4.07469
金银二老	107	15987.12909	5.09921	3.61208	3.61208	5.09921
月媚	107	5780.71506	4.88838	3.42167	3.42167	4.88838
发出一道	107	126.40930	5.56471	4.54225	4.54225	5.56471
仅有	106	506.92906	5.59417	5.35719	5.35719	5.59417
暴冲而	106	145.31760	5.44026	2.08954	5.44026	2.08954
二长老	106	323.79278	5.37103	3.99566	3.99566	5.37103
净莲妖	106	441.16214	4.61984	2.88703	4.61984	2.88703
无形火蟒	105	3766.67722	4.55289	3.57837	3.57837	4.55289
寻找到	105	122.65658	5.52346	5.04567	5.52346	5.04567
面色阴沉	104	272.74951	4.89308	1.62196	4.89308	1.62196
远古种族	104	2366.26447	3.94123	3.54950	3.94123	3.54950
修炼速度	104	83.91505	3.17873	2.68262	3.17873	2.68262
纳兰家族	104	219.93962	5.08396	4.19249	5.08396	4.19249
看台上	104	318.91635	3.57037	3.55141	3.57037	3.55141
毁灭火莲	104	1178.01599	4.22573	3.85524	4.22573	3.85524
没有理会	104	158.13593	5.15428	3.90690	3.90690	5.15428
耳中	103	296.68244	4.04620	1.70498	4.04620	1.70498
俏脸上	103	2623.24028	4.40379	3.64526	3.64526	4.40379
天阶斗技	103	1567.26726	4.59111	3.11898	4.59111	3.11898
灵魂之力	103	91.07854	3.68353	3.60656	3.68353	3.60656
星斗者	103	722.50027	3.36723	3.00356	3.00356	3.36723
曰子	103	522.01760	3.30360	2.75431	3.30360	2.75431
妖花邪君	102	28187.38053	4.55922	4.32425	4.32425	4.55922
星斗皇	102	1896.46813	3.55727	2.85190	2.85190	3.55727
大殿之内	102	255.51513	4.15458	3.37185	3.37185	4.15458
一抹凝重	102	116.10548	2.87343	1.55870	2.87343	1.55870
一名斗皇	102	196.55906	4.42080	1.88210	4.42080	1.88210
族纹	102	4608.79446	4.05785	3.60602	4.05785	3.60602
紫晶源	101	10505.25990	3.60487	3.15253	3.15253	3.60487
坊市	101	24191.80132	4.58516	3.57828	4.58516	3.57828
快若闪电般的	101	765.24792	4.83027	3.63601	3.63601	4.83027
能量风暴	100	143.09639	4.13692	2.60911	2.60911	4.13692
柳长老	100	853.28208	5.50067	3.48994	3.48994	5.50067
仅仅只有	100	440.92838	5.59509	4.98173	4.98173	5.59509
毒蝎龙兽	100	19768.95482	4.91264	2.09829	2.09829	4.91264
森白火焰	99	476.46366	4.39442	3.50371	3.50371	4.39442
提升实力	99	98.29497	5.02995	2.24592	5.02995	2.24592
古龙一族	99	5076.34222	2.65636	1.93631	2.65636	1.93631
狂暴能量	99	156.17147	3.31384	2.81377	3.31384	2.81377
有些诧异	99	101.19159	4.29678	2.06518	4.29678	2.06518
太大	98	217.06514	4.92175	2.21500	4.92175	2.21500
三星斗	98	448.10085	4.46439	2.94416	4.46439	2.94416
蛇人族	98	4306.07052	4.67536	3.53896	3.53896	4.67536
筑基灵液	97	25324.74410	4.46994	3.59749	4.46994	3.59749
辰闲	97	13374.97307	5.19682	3.80685	3.80685	5.19682
一年时间	97	218.18201	4.63260	2.80016	4.63260	2.80016
魔核	97	2610.97487	3.85613	2.30481	2.30481	3.85613
金色火焰	97	128.11723	4.05894	3.69006	3.69006	4.05894
喉咙间	96	224.84904	3.57470	3.17150	3.57470	3.17150
露出一抹	96	214.95394	5.29316	3.78171	3.78171	5.29316
火焰风暴	96	133.31167	3.80990	2.19118	2.19118	3.80990
陀舍古帝	96	11079.26751	4.21287	4.13513	4.13513	4.21287
颇有些	96	91.03179	6.17340	3.88672	3.88672	6.17340
九章 	96	1931.57914	6.49377	4.25795	4.25795	6.49377
站起	96	129.46047	3.88187	1.64791	3.88187	1.64791
烛离长老	96	619.48279	5.47418	3.39809	3.39809	5.47418
蝎毕岩	96	17686.19955	5.40558	4.01734	4.01734	5.40558
便先	95	150.43348	5.06615	3.07486	3.07486	5.06615
非常清楚	95	955.00533	3.78887	3.65547	3.78887	3.65547
灰紫	94	5066.09739	3.56927	3.25972	3.56927	3.25972
胸口处	94	455.44847	4.52942	2.53470	4.52942	2.53470
额头之上	94	130.18234	3.90805	3.26619	3.90805	3.26619
眼中闪过	94	210.38537	3.47497	1.90006	3.47497	1.90006
狼头佣兵团	94	5853.49670	4.38568	4.29731	4.38568	4.29731
抚摸着	94	85.78241	5.65040	3.06603	3.06603	5.65040
石台之上	94	95.04662	3.47380	2.12574	3.47380	2.12574
绝对不会	94	192.86800	5.51039	3.63685	3.63685	5.51039
短时间内	94	1629.58198	4.53496	3.51337	3.51337	4.53496
一个小时	93	177.71050	3.77954	3.28669	3.77954	3.28669
再如何	93	87.90982	6.11852	5.51443	5.51443	6.11852
见过	93	314.86965	5.11706	4.65421	5.11706	4.65421
可是相当	93	319.61716	4.02390	2.21266	2.21266	4.02390
相抗衡	92	5098.31773	4.63100	2.46334	4.63100	2.46334
做什么	92	80.89259	5.88205	4.39176	5.88205	4.39176
一道苍老	92	128.39448	2.43576	2.01019	2.43576	2.01019
妖圣	92	552.65204	4.83988	2.02585	2.02585	4.83988
大厅内	91	236.73313	3.00465	2.90325	2.90325	3.00465
脚尖一点	89	970.87678	2.97635	2.05816	2.05816	2.97635
天北城	89	2155.69596	4.39831	4.05718	4.05718	4.39831
脸色阴沉	89	133.21758	5.20494	1.61569	5.20494	1.61569
风雷北阁	89	5218.71292	5.08894	4.21383	5.08894	4.21383
拿出来	89	289.72611	5.64112	3.95083	5.64112	3.95083
这个名字	89	210.19917	4.31080	2.55639	4.31080	2.55639
吐出	88	107.15636	4.71847	2.77119	4.71847	2.77119
漠铁佣兵团	88	5530.14328	4.19355	4.11835	4.19355	4.11835
漆黑色	88	1924.77467	4.78692	1.75548	4.78692	1.75548
苍老身影	88	296.33285	3.50369	2.72458	2.72458	3.50369
两年时间	88	210.03455	4.30165	2.63211	4.30165	2.63211
火灵蛇	87	5046.44045	3.98556	3.30794	3.30794	3.98556
有些愕然	87	100.10669	3.66487	1.53395	3.66487	1.53395
空间之力	87	84.70990	3.96325	3.77128	3.96325	3.77128
斗气双翼	86	161.53370	3.97578	3.58410	3.58410	3.97578
经脉之中	86	82.76329	3.50488	3.29963	3.29963	3.50488
没办法	86	518.26331	3.62003	2.88407	3.62003	2.88407
嘭嘭	86	388.21565	2.28649	1.89150	2.28649	1.89150
会令得	86	278.27496	5.51343	3.58909	3.58909	5.51343
透着	86	90.87364	3.81059	2.92593	2.92593	3.81059
泛起一抹	86	221.24248	5.31476	4.12570	4.12570	5.31476
斗灵强者	86	187.49591	4.63601	3.62843	4.63601	3.62843
一名身着	86	367.73091	5.32739	2.68341	2.68341	5.32739
三种异火	86	464.34099	4.53858	3.34902	4.53858	3.34902
斗气铠甲	85	469.43452	3.55450	3.40619	3.40619	3.55450
明曰	85	402.58465	4.94893	2.69060	2.69060	4.94893
黑皇宗	85	5620.03965	4.58350	3.26586	3.26586	4.58350
女王陛下	85	3454.81191	5.05130	4.63953	5.05130	4.63953
小心点	85	177.33660	3.24534	1.70247	3.24534	1.70247
森林之中	85	87.57730	3.86931	2.80138	3.86931	2.80138
很难	85	979.63509	5.44616	2.90897	2.90897	5.44616
炼制成功	84	204.01995	5.41102	2.96761	5.41102	2.96761
八品丹药	84	621.35448	3.72366	3.09645	3.72366	3.09645
天目山脉	84	24981.75686	4.76172	4.58071	4.58071	4.76172
微皱着眉头	84	2960.00239	2.93480	2.62448	2.62448	2.93480
却并非	84	89.11738	3.34582	2.89002	3.34582	2.89002
三年时间	84	155.21615	4.13509	2.10891	4.13509	2.10891
不用担心	84	1215.12449	4.50122	2.91928	4.50122	2.91928
林修崖	83	17806.25325	4.11396	2.29088	2.29088	4.11396
手中重尺	83	157.96434	4.93819	1.74284	1.74284	4.93819
斗尊巅峰	83	470.10044	4.44380	2.31044	4.44380	2.31044
狮鹫兽	82	9140.62672	4.90590	4.32616	4.32616	4.90590
一道低沉	82	120.28414	3.28687	2.65928	3.28687	2.65928
帝品雏丹	82	19931.64438	4.34498	3.58408	4.34498	3.58408
尽数包裹	82	327.78163	4.05613	1.84273	4.05613	1.84273
远古遗迹	82	2762.21782	4.40702	4.01225	4.01225	4.40702
一定要	81	262.99173	5.48122	4.19225	4.19225	5.48122
半个月	81	1520.25299	4.09653	3.74383	4.09653	3.74383
