20.0 # 80.0 # 0.0 # 1.5 # 2	tf	agg_coef	max_entropy	min_entropy	left_entropy	right_entropy
鬼魅般	28	332.11638	2.54653	2.30544	2.30544	2.54653
长眉长老	28	876.03627	2.69070	2.28039	2.69070	2.28039
青衫男子	28	2392.29807	4.13754	2.59491	2.59491	4.13754
慕兰二老	28	4499.28726	3.64559	3.07741	3.07741	3.64559
十分钟左右	28	1206.09740	2.19951	2.01023	2.01023	2.19951
转身离去	28	599.36473	3.86576	2.03867	3.86576	2.03867
仅仅几个	28	222.75891	1.81980	1.68282	1.68282	1.81980
这件事	28	1037.55217	4.08005	2.94644	4.08005	2.94644
轻笑声	28	325.75379	3.19969	2.71438	3.19969	2.71438
其中一人	28	93.81147	3.87878	1.92483	1.92483	3.87878
一名斗者	28	219.77165	3.03366	2.46394	2.46394	3.03366
这般近乎	28	89.45628	4.35182	3.39360	3.39360	4.35182
模糊黑影	28	397.20339	2.90011	2.18130	2.90011	2.18130
黑色骷髅	27	1027.72106	3.01342	2.50936	2.50936	3.01342
深蓝色火焰	27	249.63048	3.45047	3.25366	3.25366	3.45047
虚空雷池	27	1767.06867	3.54759	3.27327	3.27327	3.54759
水属姓	27	3535.15427	3.86930	2.42083	3.86930	2.42083
天石台	27	121.06461	3.41444	3.16136	3.41444	3.16136
嘘唏	27	78754.30220	2.13744	2.10723	2.10723	2.13744
黄衣老者	27	26092.14138	4.28679	3.41830	3.41830	4.28679
泛起许些	27	198.15690	3.77687	3.63397	3.63397	3.77687
玄阶功法	27	588.81721	4.23637	3.46767	4.23637	3.46767
九品丹药	27	213.90246	3.68989	2.99328	3.68989	2.99328
诸位兄弟	27	1269.70557	3.46767	1.66878	1.66878	3.46767
有些恍惚	27	174.18225	3.14807	1.50588	3.14807	1.50588
如雷鸣般	27	1861.18333	3.27281	1.81093	3.27281	1.81093
萧族长	27	1179.49992	3.08750	2.45660	2.45660	3.08750
便动身	27	141.89964	2.87448	2.49490	2.87448	2.49490
月光石	27	9433.92914	2.99174	2.43899	2.99174	2.43899
自指尖	27	351.52997	3.48213	2.98022	2.98022	3.48213
黑色斗篷	27	806.05573	3.40307	3.17603	3.40307	3.17603
俏美的	27	5063.57148	2.76307	1.72476	2.76307	1.72476
中州北域	27	2048.78259	3.89861	3.58416	3.58416	3.89861
黄衣男子	27	1963.28413	4.23637	3.80638	3.80638	4.23637
残破地图	27	3463.40051	3.43971	2.35072	3.43971	2.35072
比起先前	27	104.97190	3.30447	2.20841	2.20841	3.30447
沙漠深处	27	567.16061	3.70435	2.05602	3.70435	2.05602
有些感叹	27	114.24857	3.90231	2.11274	3.90231	2.11274
远古天凰	27	1972.74162	3.63853	3.60602	3.60602	3.63853
远古噬虫	27	5002.30910	3.79238	2.90540	2.90540	3.79238
山脉之外	27	82.95972	3.16047	2.90399	3.16047	2.90399
恐怖高温	27	152.58752	2.90399	2.29303	2.29303	2.90399
青衣老者	27	299.22514	3.37640	3.08359	3.08359	3.37640
并不好	27	127.84808	4.00065	2.91690	4.00065	2.91690
彩色绸缎	27	35390.82222	2.72301	2.62925	2.62925	2.72301
短短几分钟	27	1749.09897	2.35264	1.89972	1.89972	2.35264
十几道人影	27	532.98110	3.09531	2.72125	2.72125	3.09531
雷属姓	27	3535.15427	2.79120	2.12453	2.79120	2.12453
一枚回气丹	27	1579.74426	2.38307	2.33421	2.38307	2.33421
十几道身影	27	419.33072	3.71785	3.05947	3.05947	3.71785
白色雾气	27	546.75884	3.16157	2.65141	2.65141	3.16157
心生	27	1682.90278	4.03230	3.93027	4.03230	3.93027
突破斗皇	27	159.35904	4.20841	2.33421	4.20841	2.33421
一抹狂喜	27	134.77760	3.05059	2.33951	3.05059	2.33951
白曰	27	134.27382	3.97910	3.83804	3.97910	3.83804
变得扭曲	27	86.96730	3.92657	1.75272	3.92657	1.75272
方才稳住	27	242.83822	2.08033	1.62288	2.08033	1.62288
身体内部	27	109.58586	3.29547	2.82240	2.82240	3.29547
